id,season,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,win_by_runs,win_by_wickets,dl_applied,umpire1,umpire2,winner
335982,2008,Bangalore,18-04-2008,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,normal,140,0,0,Asad Rauf,RE Koertzen,Kolkata Knight Riders
335983,2008,Chandigarh,19-04-2008,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,normal,33,0,0,MR Benson,SL Shastri,Chennai Super Kings
335984,2008,Delhi,19-04-2008,MF Maharoof,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,normal,0,9,0,Aleem Dar,GA Pratapkumar,Delhi Daredevils
335985,2008,Mumbai,20-04-2008,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,5,0,SJ Davis,DJ Harper,Royal Challengers Bangalore
335986,2008,Kolkata,20-04-2008,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,normal,0,5,0,BF Bowden,K Hariharan,Kolkata Knight Riders
335987,2008,Jaipur,21-04-2008,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,normal,0,6,0,Aleem Dar,RB Tiffin,Rajasthan Royals
335988,2008,Hyderabad,22-04-2008,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,9,0,IL Howell,AM Saheba,Delhi Daredevils
335989,2008,Chennai,23-04-2008,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,6,0,0,DJ Harper,GA Pratapkumar,Chennai Super Kings
335990,2008,Hyderabad,24-04-2008,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,3,0,Asad Rauf,MR Benson,Rajasthan Royals
335991,2008,Chandigarh,25-04-2008,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,66,0,0,Aleem Dar,AM Saheba,Kings XI Punjab
335992,2008,Bangalore,26-04-2008,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,7,0,MR Benson,IL Howell,Rajasthan Royals
335993,2008,Chennai,26-04-2008,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,9,0,BF Bowden,AV Jayaprakash,Chennai Super Kings
335994,2008,Mumbai,27-04-2008,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,10,0,Asad Rauf,SL Shastri,Deccan Chargers
335995,2008,Chandigarh,27-04-2008,SM Katich,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,normal,0,4,0,RE Koertzen,I Shivram,Kings XI Punjab
335996,2008,Bangalore,28-04-2008,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,normal,13,0,0,BR Doctrove,RB Tiffin,Chennai Super Kings
