Source,Target,Type,Weight
1,605,Directed,0.03322416821
1,606,Directed,0.04280007609
1,607,Directed,0.0521354688
1,608,Directed,0.05322687957
1,609,Directed,0.02889338342
1,610,Directed,0.02761668048
1,611,Directed,0.03958828187
1,612,Directed,0.04593477262
1,613,Directed,0.09105960265
1,614,Directed,0.07734201283
1,615,Directed,0.05098257323
1,616,Directed,0.04814636495
1,617,Directed,0
1,618,Directed,0.04128819158
1,619,Directed,0
1,620,Directed,0.03317850033
1,621,Directed,0.03222687722
1,622,Directed,0
1,623,Directed,0.01675228948
1,624,Directed,0.03685956506
1,625,Directed,0.08357211079
1,626,Directed,0
1,627,Directed,0.1303538175
1,628,Directed,0.04761904762
1,629,Directed,0
1,630,Directed,0
1,631,Directed,0
1,632,Directed,0.0415282392
1,633,Directed,0.03650967506
1,634,Directed,0.02462245568
1,635,Directed,0.0295202952
1,636,Directed,0.04505229284
1,637,Directed,0.06000857265
1,638,Directed,0.01924557352
1,639,Directed,0.03778337531
1,640,Directed,0.0322997416
1,641,Directed,0.04048582996
1,642,Directed,0.02058319039
1,643,Directed,0.0290275762
1,644,Directed,0.0898311175
1,645,Directed,0.1673747908
1,646,Directed,0.05977683316
1,647,Directed,0.06849315068
1,648,Directed,0.08772521763
2,608,Directed,0.0499001996
2,649,Directed,0.06684491979
2,611,Directed,0.03958828187
2,614,Directed,0.04189359028
2,650,Directed,0.02364066194
2,651,Directed,0.05698005698
2,652,Directed,0.03273322422
2,653,Directed,0.02510460251
2,654,Directed,0.04462293619
2,655,Directed,0.04823926676
2,656,Directed,0.05659309564
2,657,Directed,0.04421648391
2,658,Directed,0.03480682214
2,659,Directed,0.03709198813
2,660,Directed,0
2,661,Directed,0.02131287298
2,662,Directed,0.02378404091
2,663,Directed,0
2,664,Directed,0.05333333333
2,665,Directed,0.06730481603
2,666,Directed,0.04196831392
2,667,Directed,0.0421686747
2,668,Directed,0.1131861913
2,641,Directed,0.01012145749
2,669,Directed,0.03259452412
2,670,Directed,0.03688675765
2,671,Directed,0
2,646,Directed,0.0132837407
2,672,Directed,0.01980590216
2,673,Directed,0.07666360012
2,648,Directed,0.02361832782
3,674,Directed,0.02348520432
3,636,Directed,0.01769911504
3,638,Directed,0.03849114704
3,675,Directed,0
4,676,Directed,0.004020100503
4,677,Directed,0.009667440062
4,678,Directed,0.01680672269
4,679,Directed,0.01864975755
4,680,Directed,0.01277465508
4,681,Directed,0.01787310098
4,633,Directed,0.03650967506
4,682,Directed,0.01908396947
4,638,Directed,0.05773672055
4,683,Directed,0.04109589041
4,684,Directed,0.02070393375
4,685,Directed,0.009137426901
4,686,Directed,0.05260942761
4,687,Directed,0.02535496957
4,688,Directed,0.007629899031
4,689,Directed,0.0366703337
5,690,Directed,0.0286000286
5,691,Directed,0.03331112592
5,692,Directed,0.06993006993
5,693,Directed,0.05201560468
5,620,Directed,0.03317850033
5,627,Directed,0.01862197393
6,658,Directed,0.02320454809
6,671,Directed,0.03749531309
7,605,Directed,0.03203759077
7,614,Directed,0.07780238195
7,694,Directed,0.0212585034
7,695,Directed,0
7,677,Directed,0.06767208043
7,615,Directed,0.01483129403
7,696,Directed,0.04884402475
7,697,Directed,0.01204819277
7,632,Directed,0.0276854928
7,681,Directed,0.04468275246
7,698,Directed,0.02871088142
7,639,Directed,0
7,699,Directed,0.06131744919
7,689,Directed,0.009167583425
8,700,Directed,0.009523809524
8,701,Directed,0.04170141785
8,702,Directed,0.04214075011
8,703,Directed,0.01901502187
8,614,Directed,0.06982265047
8,615,Directed,0.01853911754
8,679,Directed,0.01864975755
8,704,Directed,0.03020235578
8,705,Directed,0.07207207207
8,706,Directed,0
8,633,Directed,0.009127418766
8,707,Directed,0.007379529186
8,708,Directed,0.02184359983
8,709,Directed,0.021486893
8,638,Directed,0.03849114704
8,710,Directed,0.06564264146
8,639,Directed,0.05037783375
8,711,Directed,0.04135649297
8,712,Directed,0
8,713,Directed,0
9,608,Directed,0
9,714,Directed,0.1030927835
9,611,Directed,0.05278437582
9,715,Directed,0.03421727973
9,656,Directed,0.2263723826
9,716,Directed,0.03186743149
9,717,Directed,0
9,660,Directed,0
9,718,Directed,0.0164095832
9,719,Directed,0.04480286738
9,662,Directed,0.03121655369
9,720,Directed,0.007142857143
9,669,Directed,0.02172968275
9,670,Directed,0.1014385835
9,646,Directed,0
9,721,Directed,0.06523157208
9,648,Directed,0.09017906987
10,605,Directed,0.0427167877
10,722,Directed,0.04516711834
10,723,Directed,0
10,724,Directed,0.01511715797
10,606,Directed,0.03994673768
10,607,Directed,0.01876876877
10,725,Directed,0.02875215641
10,726,Directed,0.01840490798
10,610,Directed,0.07249378625
10,727,Directed,0.02283105023
10,728,Directed,0.01149755677
10,729,Directed,0.01188777936
10,693,Directed,0.1040312094
10,613,Directed,0.02483443709
10,703,Directed,0.0427837992
10,730,Directed,0.039793076
10,731,Directed,0.02135611319
10,614,Directed,0.04189359028
10,732,Directed,0.1027749229
10,733,Directed,0.01737921446
10,734,Directed,0.006725854183
10,651,Directed,0.04220744961
10,615,Directed,0.0321344704
10,679,Directed,0
10,735,Directed,0.008872327211
10,704,Directed,0.03020235578
10,616,Directed,0.01604878832
10,736,Directed,0.0520895941
10,737,Directed,0.02303439803
10,705,Directed,0.01801801802
10,652,Directed,0.0736497545
10,738,Directed,0.0248015873
10,653,Directed,0.008368200837
10,739,Directed,0.04865103936
10,619,Directed,0
10,620,Directed,0
10,621,Directed,0.01289075089
10,740,Directed,0.01468428781
10,622,Directed,0
